id,titolo,ente,fonte,tipo_agevolazione,beneficiari,settore,ambito,dimensione,obiettivo,dotazione,data_apertura,data_scadenza,stato,url
INC1438,Bando per la concessione di voucher alle imprese in tema di formazione e lavoro 2024 - CCIAA Gran Sasso d'Italia,CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DEL GRAN SASSO D'ITALIA,Stato,fondo_perduto,impresa;terzo_settore;istituto_finanziario,tutti,Abruzzo,grande;media;micro;piccola,donne;giovani;inclusione;ricerca_sviluppo;investimenti;liquidita,175000,2024-01-01,2024-05-31,scaduto,https://www.cameragransasso.camcom.it/it/la-camera/promozione-economica/bandi/bando-per-la-concessione-di-voucher-alle-imprese-in-tema-di-formazione-e-lavoro/
INC1439,Bando per contributi alle imprese per favorire l’accessibilità nei locali aziendali 2024 - CCIAA Gran Sasso d'Italia,CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DEL GRAN SASSO D'ITALIA,Stato,fondo_perduto,impresa;terzo_settore,tutti,Abruzzo,grande;media;micro;piccola,ricerca_sviluppo;investimenti,100000,2024-01-30,2024-05-31,scaduto,https://www.cameragransasso.camcom.it/it/la-camera/promozione-economica/bandi/bando-per-contributi-alle-imprese-per-favorire-laccessibilit-nei-locali-aziendali/
INC144,EuroHPC JU iniziativa tecnologica congiunta nel settore del calcolo ad alte prestazioni,Ministero dello sviluppo economico,Stato,fondo_perduto,impresa;startup,ict;artigianato,nazionale,grande;media;piccola,ricerca_sviluppo;digitalizzazione,17700000,2021-07-27,2021-09-07,scaduto,https://www.mise.gov.it/index.php/it/incentivi/impresa/eurohpc-ju-calcolo-alte-prestazioni
INC1440,Agevolazione dell'imposta immobiliare a sostegno dell'economia del settore turistico in connessione all'emergenza epidemiologica da COVID-19 - Comune di Predoi,Comune di Predoi,Stato,credito_imposta,impresa,tutti,Trentino-Alto Adige,grande;media;micro;piccola,liquidita,8061,2021-11-19,2022-12-31,scaduto,https://www.prettau.it/it/Comune/Amministrazione_Trasparente
INC1441,Agevolazione dell'imposta municipale immobiliare a sostegno dell'economia in connessione all'emergenza epidemiologica da COVID-19 - Comune di Predoi,Comune di Predoi,Stato,credito_imposta,impresa,tutti,Trentino-Alto Adige,grande;media;micro;piccola,liquidita,10866,2020-08-21,2021-02-01,scaduto,https://www.prettau.it/it/Comune/Amministrazione_Trasparente
INC1442,"Bando Enviromental, Social e Governance - ESG e Transizione energetica - anno 2024 - Camera di Commercio di Cuneo","Camera di Commercio, Industria, Artigianato e Agricoltura di Cuneo",Stato,fondo_perduto,impresa,tutti,Piemonte,micro;media;grande;piccola,transizione_ecologica,550000,2024-04-08,2024-06-27,scaduto,https://www.cn.camcom.it/attivita/presentazione-dei-bandi-camerali-bando-esg-transizione-energetica-bando-innovazione
INC1447,Bando Voucher digitali e transizione energetica - anno 2024 - Camera di Commercio di Chieti Pescara,Camera di Commercio Industria Artigianato e Agricoltura Chieti Pescara,Stato,fondo_perduto,impresa;startup,tutti,Abruzzo,media;micro;piccola,digitalizzazione;transizione_ecologica,300000,2024-04-22,2024-06-29,scaduto,https://www.chpe.camcom.it/pagina970_bando-voucher-digitale-i40-e-transizione-energetica-anno-2024.html
INC1448,Contributi alle MPMI per fiere in Italia e all'estero: sviluppo economico locale - Anno 2024 - Camera di Commercio di Como - Lecco,Camera di Commercio di Como-Lecco - Area Promozione Economica e Regolazione del Mercato,Stato,fondo_perduto,impresa,tutti,Lombardia,media;micro;piccola,internazionalizzazione,250000,2024-04-22,2024-09-30,scaduto,https://www.comolecco.camcom.it/archivio27_bandi-ed-opportunita_0_148.html
INC1449,"Creazione di itinerari di esperienza a tema-Bando 2023 -GAL Distretto Rurale Barbagia, Mandrolisai, Gennargentu- PSR Sardegna 2014-2022",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,ente_pubblico,tutti,Sardegna,grande;media;micro;piccola,investimenti,535101,2023-01-19,2023-06-30,scaduto,https://www.galbmg.it/bandi-2023_creazione-di-itinerari-di-esperienza-a-tema/
INC145,Fondo per il trasferimento tecnologico,"Ministero dello sviluppo economico, Ministero dell’economia e delle finanze",Stato,finanziamento_agevolato,startup;ricerca,tutti,nazionale,piccola;media,ricerca_sviluppo;startup,500000000,,,aperto,https://www.mise.gov.it/index.php/it/incentivi/impresa/fondo-trasferimento-tecnologico
INC1450,Strutture ricettive extra-agricole - GAL Distretto Rurale BMG - PSR Sardegna 2014-2022,GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,persona_fisica;impresa,tutti,Sardegna,grande;media;micro;piccola,investimenti,223356,2023-10-12,2023-12-30,scaduto,https://www.galbmg.it/2023_strutture-ricettive-extra-agricole/
INC1451,"Strutture ricettive in aziende agricole su fabbricati rurali esistenti - GAL Distretto Rurale BMG - Barbagia, Mandrolisai,Gennargentu - PSR Sardegna 2014-2020",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,impresa,tutti,Sardegna,grande;media;micro;piccola,investimenti,193356,2023-08-24,2023-10-20,scaduto,https://www.galbmg.it/2023-ambito-1-strutture-ricettive-in-aziende-agricole-su-fabbricati-rurali-esistenti/
INC1452,"Creazione di nuovi servizi turistici - GAL Distretto Rurale BMG - Barbagia, Mandrolisai,Gennargentu - PSR Sardegna 2014-2020",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,persona_fisica;impresa,altri servizi;turismo,Sardegna,grande;media;micro;piccola,startup,212000,2023-05-04,2023-07-17,scaduto,https://www.galbmg.it/wp-content/uploads/2023/05/BANDO-6.2-TURISMO-DEFINITIVO.pdf
INC1453,"Nuovo artigianato innovativo, bioeconomia e Green Economy - GAL Distretto Rurale BMG - Barbagia, Mandrolisai,Gennargentu - PSR Sardegna 2014-2022",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,persona_fisica;impresa,tutti,Sardegna,grande;media;micro;piccola,startup,206479,2023-05-04,2023-07-17,scaduto,https://www.galbmg.it/2023-ambito-2-nuove-attivita-imprenditoriali-di-artigianato-innovativo-bioeconomia-e-green-economy/
INC1454,"Bando Agricoltura Sociale - GAL Distretto Rurale BMG - Barbagia, Mandrolisai,Gennargentu - PSR Sardegna 2014-2022",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,impresa,tutti,Sardegna,grande;media;micro;piccola,investimenti,100000,2023-08-24,2023-11-30,scaduto,https://www.galbmg.it/2023-ambito-3-agricoltura-sociale/
INC1455,"Creazione di nuovi servizi in ambito sociale - GAL Distretto Rurale BMG - Barbagia, Mandrolisai, Gennargentu - PSR Sardegna 2014-2020",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,persona_fisica;impresa,tutti,Sardegna,grande;media;micro;piccola,startup,270068,2023-05-04,2023-07-17,scaduto,https://www.galbmg.it/2023-ambito-3-icreazione-di-nuovi-servizi-in-ambito-sociale/
INC1456,"Trasformazione, commercializzazione e sviluppo di prodotti agricoli - GAL Distretto Rurale BMG - Barbagia, Mandrolisai, Gennargentu - PSR Sardegna 2014-2020",GAL Barbargia Mandrolisai Gennargentu,Stato,fondo_perduto,impresa,"agricoltura, silvicoltura e pesca;agroalimentare",Sardegna,grande;media;micro;piccola,investimenti,206479,2024-03-21,2024-04-30,scaduto,https://www.galbmg.it/2023-ambito-2-progetti-imprese-dimostrative/
INC1457,"Contributi a fondo perduto alle attività economiche, commerciali e artigianali - Annualità 2022 - Comune di Norbello",COMUNE DI NORBELLO,Stato,fondo_perduto,impresa,tutti,Sardegna,micro;piccola,inclusione;liquidita,18730,2023-11-20,2023-12-15,scaduto,https://www.comune.norbello.or.it/index.php/evidenza
INC1458,Bando per l'accesso alle misure di sostegno economico per attività artigianali e commerciali 2022 - Comune di Serravalle a Po,Comune di Serravalle a Po,Stato,fondo_perduto,impresa,tutti,Lombardia,micro;piccola,liquidita,20444,2024-01-18,2024-02-19,scaduto,https://www.comune.serravalleapo.mn.it/novita/avvisi/novita_3.html#documenti
INC1459,Bando per l'accesso alle misure di sostegno economico per attività artigianali e commerciali 2022 - Comune di Sustinente,Comune di Sustinente,Stato,fondo_perduto,impresa,tutti,Lombardia,micro;piccola,liquidita,25111,2024-01-18,2024-02-19,scaduto,https://comune.sustinente.mn.it/notizie/2389616/bando-accesso-misure-sostegno-economico-attivita
INC146,Patent box,Ministero dello sviluppo economicoMinistero dell’economia e delle finanze,Stato,credito_imposta,partita_iva,ict,nazionale,grande;media;piccola,ricerca_sviluppo,0,2014-12-31,,aperto,https://www.mise.gov.it/index.php/it/incentivi/impresa/patent-box
INC1460,"Fondo aree interne: contributi a fondo perduto attività economiche, artigianali e commerciali - annualità 2021 - Comune di Montefiorino -",COMUNE DI MONTEFIORINO,Stato,fondo_perduto,impresa,tutti,Emilia-Romagna,micro,liquidita,25904,2024-03-04,2024-03-29,scaduto,https://www.comune.montefiorino.mo.it/novita/avvisi/copy_of_contributi-a-fondo-perduto-a-sostegno-del-commercio-e-dellartigianato-annualita-2021
INC1461,Bando per la concessione di contributi alle imprese commerciali e ristorative che operano sul territorio del Distretto Urbano del Commercio di Settimo Torinese 2024,Comune di Settimo Torinese,Stato,fondo_perduto,impresa,commercio,Piemonte,media;micro;piccola,investimenti,38117,2024-03-21,2024-03-28,scaduto,https://www.comune.settimo-torinese.to.it/it
INC1463,"Intelligenza artificiale, Blockchain e Internet of Things",Infratel Italia S.p.A.,Stato,fondo_perduto,ente_pubblico;impresa;ricerca,tutti,nazionale,grande;media;micro;piccola,ricerca_sviluppo,45000000,2022-09-21,2022-09-22,scaduto,https://www.mimit.gov.it/index.php/it/incentivi/fondo-per-interventi-volti-a-favorire-lo-sviluppo-delle-tecnologie-e-delle-applicazioni-di-intelligenza-artificiale-blockchain-e-internet-of-things#:~:text=Il%20Fondo%20per%20lo%20sviluppo%20delle%20tecnolog
INC1464,Voucher export provinciale aretino 2024 - Camera di Commercio Arezzo Siena,CAMERA DI COMMERCIO DI AREZZO-SIENA,Stato,fondo_perduto,impresa,tutti,Toscana,media;micro;piccola,internazionalizzazione,87939,2024-04-08,2024-05-10,scaduto,https://www.as.camcom.it/bando-export-2024
INC1465,"Contributi a fondo perduto attività economiche, artigianali e commerciali - Annualità 2021 - Comune di Villa Sant'Antonio",COMUNE DI VILLA SANT'ANTONIO,Stato,fondo_perduto,impresa,tutti,Sardegna,micro;piccola,investimenti,10923,2022-12-09,2023-01-08,scaduto,https://comune.villasantantonio.or.it/notizie/2617319/contributi-fondo-perduto-annualita-2021-sostegno
INC1466,Bando Investimenti Innovativi MPMI - Provincia di Pavia - 2024,"Camera di Commercio, Industria, Artigianato e Agricoltura di Pavia",Stato,fondo_perduto,impresa,tutti,Lombardia,micro;media;piccola,investimenti,1649400,2024-04-09,2025-01-20,scaduto,https://www.pv.camcom.it/index.phtml?Id_VMenu=447&daabstract=6862
INC1467,Progetto Bergamo Tecnologica - 2024,BERGAMO SVILUPPO AZIENDA SPECIALE DELLA CCIAA,Stato,fondo_perduto,impresa,tutti,Lombardia,grande;media;micro;piccola,digitalizzazione;ricerca_sviluppo;startup,280000,2024-02-20,2024-08-31,scaduto,https://bergamosviluppo.it/sito/sviluppo-e-innovazione/progetto-bergamo-tecnologica.html
INC1468,Rafforzamento delle filiere produttive e degli ecosistemi industriali - Regione Lombardia - PR FESR 2021-2027,Regione Lombardia - DG Sviluppo economico,Stato,fondo_perduto,impresa,"agroalimentare;alberghiero;altri servizi;artigianato;autoveicoli e altri mezzi di trasporto;chimica e farmaceutica;commercio;cultura;edilizia;elettronica;ict;meccanica;metallurgia;mobili, legno e carta;moda e tessile;ristorazione;salute;servizi di trasporto;turismo",Lombardia,grande;media;micro;piccola,investimenti,34000000,2024-03-28,2027-12-31,aperto,https://www.bandi.regione.lombardia.it/servizi/servizio/catalogo/dettaglio/attivita-produttive-commercio/sostegno-attivita-imprenditoriali/misura-rafforzamento-filiere-produttive-ecosistemi-industriali-RLO12024036663
INC1516,“Italian Fashion Days in Korea” Seoul - 2024 - Manifestazione di interesse per la partecipazione - Regione Marche,ATIM,Stato,fondo_perduto,impresa,tutti,Marche,media;micro;piccola,internazionalizzazione,50000,2024-04-08,2024-04-12,scaduto,https://www.regione.marche.it/Entra-in-Regione/Marche-Promozione/ATIM/Amministrazione-Trasparente
INC1518,Partecipazione delle aziende alla manifestazione Vinitaly e Sol&Agrifood 2024 - Regione Abruzzo,Regione Abruzzo - Dipartimento Politiche dello Sviluppo Rurale e della Pesca,Stato,fondo_perduto,impresa,"agricoltura, silvicoltura e pesca;agroalimentare",Abruzzo,media;piccola,liquidita,89670,2024-04-09,2024-06-30,scaduto,https://www.regione.abruzzo.it/
INC1519,Fondo di sostegno ai comuni marginali Annualità 2022 - Comune di San Gregorio Matese,Comune di San Gregorio Matese,Stato,fondo_perduto,impresa;startup,tutti,Campania,micro;piccola,investimenti,36439,2024-01-20,2024-06-30,scaduto,https://sangregoriomatese.halleyegov.it/amministrazione/trasparenza/trasparenza.html
INC1520,"Fondo Comuni marginali - Annualità 2022, Comune di Celenza Valfortore",COMUNE DI CELENZA VALFORTORE,Stato,capitale_rischio,impresa;startup,"agricoltura, silvicoltura e pesca;agroalimentare;alberghiero;artigianato;commercio;cultura;edilizia;mobili, legno e carta;moda e tessile;ristorazione;turismo",Puglia,grande;media;micro;piccola,startup,55116,2024-02-09,2024-12-31,scaduto,https://comune.celenzavalfortore.fg.it/notizie/2544615/avviso-pubblico-fondo-sostegno-comuni-marginali
INC1521,"Bando Formazione e Lavoro, Anno 2024 - Camera di Commercio Como - Lecco",Camera di Commercio Industria Artigianato e Agricoltura di Como-Lecco,Stato,fondo_perduto,impresa,tutti,Lombardia,micro;media;piccola,startup,120000,2024-04-20,2024-10-30,scaduto,https://www.comolecco.camcom.it/archivio27_bandi-opportunita_0_152.html
INC1522,"CteNext - “Next Society” - Sostegno finanziario per sperimentazioni di soluzioni innovative negli ambiti Cultura, Education, Ambiente e Gestione del territorio - Città di Torino",Città di Torino,Stato,fondo_perduto,startup,altri servizi,nazionale,media;micro;piccola,ricerca_sviluppo,420000,2024-01-25,2024-03-14,scaduto,http://www.comune.torino.it/bandi/contributi-benefici.shtml#:~:text=Progetto%20Cte%20Next%20%2D%20Avviso%20pubblico%20Next%20Society
INC1523,Contratti di sviluppo - Nuovo sportello semiconduttori,Ministero delle Imprese e del Made in Italy,Stato,fondo_perduto,impresa;ricerca,tutti,nazionale,micro;media;grande;piccola,investimenti;transizione_ecologica;ricerca_sviluppo,3292000000,2024-04-30,,aperto,https://www.mimit.gov.it/it/incentivi/semiconduttori
INC1524,Bando Dote Impresa Collocamento Mirato per le imprese in Lombardia,Città Metropolitana di Milano,Stato,fondo_perduto,impresa,tutti,Lombardia,grande;media;micro;piccola,inclusione,2307387,2017-05-31,2024-03-31,scaduto,https://www.cittametropolitana.mi.it/lavoro/piano-metropolitano-per-loccupazione-dei-disabili/Dote-Impresa/
INC1525,"Contributi a fondo perduto per spese di gestione e di investimento delle attività economiche, commerciali e artigianali operanti nel Comune di Sant'Angelo in Pontano - 2021",COMUNE DI SANT'ANGELO IN PONTANO,Stato,fondo_perduto,impresa,tutti,Marche,micro;piccola,liquidita,19481,2022-12-29,2023-02-15,scaduto,https://www.comune.santangeloinpontano.mc.it/bandi-benefici-cms/avviso-pubblico-per-la-concessione-di-contributi-a-fondo-perduto-per-spese-di-gestione-e-spese-di-investimento-sostenute-dalle-attivita-economiche-commerciali-e-artigianali-operanti-nel-comun
INC1526,Bando Voucher Digitali I4.0 2024 - CCIAA Umbria,Camera di Commercio dell'Umbria,Stato,fondo_perduto,impresa,tutti,Umbria,media;micro;piccola,ricerca_sviluppo;investimenti;transizione_ecologica,200000,2024-05-08,2024-05-31,scaduto,https://www.umbria.camcom.it/promuovere-limpresa-e-il-territorio/bandi-e-contributi/bando-voucher-digitali-i4-0-anno-2024
INC1528,Bando Internazionalizzazione 2024 - CCIAA Reggio Calabria,CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI REGGIO CALABRIA,Stato,fondo_perduto,impresa,tutti,Calabria,media;micro;piccola,internazionalizzazione,70000,2024-04-18,2024-10-31,scaduto,https://www.rc.camcom.gov.it/P42A2882C431S163/Bando-Internazionalizzazione-2024.htm
